id,name,address,info
60,モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０東武サウスヒルズ１階　,開催なし
61,ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地駒場ショッピングタウン階　,開催なし
62,ポケモンセンターサッポロ,北海道札幌市中央区北５条西４－７　大丸札幌店８F,開催なし
63,ポケモンストア新千歳空港,北海道千歳市美々９８７　新千歳空港国内線ターミナルビル２F,開催なし
64,イオン小樽,北海道小樽市築港１１番６号玩具売場　,開催なし
65,イオン千歳,北海道千歳市栄町６丁目５１　玩具売場,開催なし
66,イオン北見,北海道北見市北進町１丁目１－１　玩具売場,開催なし
67,コジマ×ビックカメライオン西岡,北海道札幌市豊平区西岡３－４－１　イオン札幌西岡ＳＣ内,開催なし
68,イトーヨーカドーアリオ札幌,北海道札幌市東区北７条東９－２－２０　玩具売場,開催なし
69,イトーヨーカドー帯広,北海道帯広市稲田町南８線西１０－１　玩具売場,開催なし
70,イトーヨーカドー屯田,北海道札幌市北区屯田八条３－５－１　玩具売場,開催なし
71,イトーヨーカドー福住,北海道札幌市豊平区福住二条１－２－５　玩具売場,開催なし
72,イトーヨーカドー北見,北海道北見市光西町１８５　玩具売場,開催なし
73,イトーヨーカドー琴似,北海道札幌市西区琴似二条１－４－１　玩具売場,開催なし
74,おもちゃのヨシダ本店,北海道旭川市本町３－４３７－２３８　　吉田ビル１Ｆ,開催なし
75,ヨドバシカメラマルチメディア札幌,北海道札幌市北区北６条西５－１－２２　,開催なし
76,MEGAドン・キホーテ西帯広店,北海道帯広市西21条南4-1,開催なし
77,MEGAドン・キホーテ室蘭中島,北海道室蘭市中島町1丁目19-11,開催なし
78,キャッツアイ苫小牧駅前店,北海道苫小牧市木場町1-3,開催なし
79,東急百貨店 さっぽろアミューズパーク,北海道札幌市中央区北4条西2-1　札幌東急内９F,開催なし
80,ユーズランド下田店,青森県上北郡おいらせ町中野平40-1イオンモール下田1F,開催なし
81,ラ・セラキッズ,青森県青森市八重田4-2-1ﾗ･ｾﾗ東ﾊﾞｲﾊﾟｽ店,開催なし
82,ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F,開催なし
83,GiGO弘前,青森県弘前市末広1-3-3,開催なし
84,GiGO八戸,青森県八戸市城下4-25-14,開催なし
85,ゲームフィールド弘前樋の口店,青森県弘前市樋の口二丁目9-6　イオンタウン弘前樋の口店,開催なし
86,スペースファンタジーインフィニ店,青森県弘前市城東北三丁目10番地1　さくら野百貨店弘前店4F,開催なし
87,ソユーゲームフィールド 青森店,青森県青森市浜田一丁目14番地1　イトーヨーカドー青森店2F,開催なし
88,ソユーゲームフィールド八戸店,青森県八戸市沼館四丁目7番112号　八戸ピアドゥB棟2F,開催なし
89,ｎａｍｃｏエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻５１７－１　エルムの街ＳＣ　本棟２階,開催なし
90,ラウンドワン青森店,青森県青森市浜田3丁目1番1号,開催なし
91,ファンタジードーム八戸店,青森県八戸市江陽2-14-1ラピア八戸店別棟,開催なし
92,タイトーステーション 青森アムゼ店,青森県青森市緑3丁目9番地の2サンロード青森 アムゼ内,開催なし
93,ハロータイトー むつ,青森県むつ市小川町2-4-8前田百貨店内 4F,開催なし
94,ハロータイトー イオン七戸十和田駅前店,青森県上北郡七戸町字荒熊内67番地990イオン七戸十和田駅前店内,開催なし
95,モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田１－７－１イオン２階　,開催なし
96,モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世４１イオン１階　,開催なし
97,モーリーファンタジー平賀,青森県平川市小和森上松岡１９３－１イオンタウン１階　,開催なし
98,ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１アクロスプラザ五所川原階　,開催なし
99,モーリーファンタジー鶴田,青森県北津軽郡鶴田町大字鶴田字中泉２４５番地１鶴田フットリバーモール店１階　,開催なし
100,ＰＡＬＯ黒石,青森県黒石市富士見１０３番地３アクロスプラザ黒石階　,開催なし
101,"モーリーファンタジー下田★メザスタシティ★
",青森県上北郡おいらせ町中野平４０－１イオン２階　,開催なし
102,モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平２７－１イオン１階　,開催なし
103,モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１ＳｕＣ１階　,開催なし
104,モーリーファンタジー三沢,青森県三沢市松園町３－１０－１ビードルプラザ三沢店１階　,開催なし
105,ＰＡＬＯむつ,青森県むつ市中央２丁目７番８号１階　,開催なし
106,イトーヨーカドー弘前,青森県弘前市大字駅前３－２－１　玩具売場,開催なし
107,イトーヨーカドー八戸沼館,青森県八戸市沼館４－７－１１１　玩具売場,開催なし
108,イトーヨーカドー青森,青森県青森市浜田１－１４－１　玩具売場,開催なし
109,Hapipi Landヒロロ弘前店,青森県弘前市駅前町9-20　ヒロロ4F,開催なし
110,ファミリーらんどDORA店,岩手県宮古市小山田2-2-1 宮古ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰﾏﾘﾝｺｰﾌﾟDORA内2F,開催なし
111,チャットタウン北上店,岩手県北上市北鬼柳19地割71番地外パルショッピングセンター,開催なし
112,ニコアプレイランド,岩手県二戸市米沢字荒谷25ﾆｺｱｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ内,開催なし
113,プレーゴ金ヶ崎,岩手県胆沢郡金ケ崎町三ケ尻荒巻165ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ金ヶ崎店内,開催なし
