id,name,address,info,lon,lat
0,アドアーズ札幌北42条店,北海道札幌市東区北42条東7-1-1,開催なし,141.3557891845703,43.111473083496094
1,イオン室蘭アミューズメントランド店,北海道室蘭市東町2丁目4-32イオン室蘭,開催なし,141.02578735351562,42.344242095947266
2,イオン千歳キッズ・パーク店,北海道千歳市栄町６－５１イオン千歳2階,開催なし,141.6482696533203,42.82899856567383
3,イオン帯広キッズ・パーク店,北海道帯広市西４条南20丁目1 イオン帯広,開催なし,143.20066833496094,42.90883255004883
4,イトーヨーカドーアリオ札幌キッズ・パーク店,北海道札幌市東区北七条東9-2-20アリオ札幌３階,開催なし,141.37039184570312,43.072914123535156
5,イトーヨーカドー屯田グルグル店,北海道札幌市北区屯田8条3-5-1イトーヨカドー屯田2階,開催なし,141.34230041503906,43.139625549316406
6,キッズパークイオン岩見沢店,北海道岩見沢市大和4条8丁目イオン岩見沢内,開催なし,141.74159240722656,43.1837043762207
7,げーむぱーくぎゃらくしー西友厚別店,北海道札幌市厚別区厚別西4条6-700-126西友厚別店2階,開催なし,141.46957397460938,43.05342483520508
8,こどものくに 西條百貨店稚内店,北海道稚内市大黒4丁目7番地1 西條百貨店,開催なし,141.6923370361328,45.397560119628906
9,東武端野アミューズメントシティ店,北海道北見市端野町三区572-1東武イーストモール橋野1階,開催なし,143.92880249023438,43.841251373291016
10,ゲームランド新さっぽろ店,北海道札幌市厚別区厚別中央2条5丁目新さっぽろアークシティ　カテプリさっぽろ3Ｆ,開催なし,141.4718017578125,43.03885269165039
11,ディノスパークちとせモール店,北海道千歳市勇舞8-1-1ちとせモール2F,開催なし,141.62745666503906,42.85389709472656
12,ディノスパーク帯広稲田店,北海道帯広市稲田町南8線西12-1 スズランボウル内,開催なし,143.19651794433594,42.89017868041992
13,ディノスパーク帯広店,北海道帯広市白樺16条西2丁目ドリームタウン白樺内,開催なし,143.17330932617188,42.91886520385742
14,ディノスパーク苫小牧店,北海道苫小牧市柳町3丁目1番20号イオン苫小牧CS2階,開催なし,141.6403350830078,42.65706253051758
15,ディノスパーク函館昭和店,北海道函館市昭和3丁目24-18ｹﾞｵ函館昭和店内,開催なし,140.73402404785156,41.818885803222656
16,ディノスパーク北見店,北海道北見市西三輪5丁目1番地16,開催なし,143.84268188476562,43.79651641845703
17,ソユーゲームフィールド 旭川駅前店,北海道旭川市宮下通7丁目2番5号　イオンモール旭川駅前4F,開催なし,142.35806274414062,43.76445007324219
18,ソユーゲームフィールド 旭川西店,北海道旭川市緑町二十三丁目2161番地3　イオンモール旭川西3F,開催なし,142.32508850097656,43.79402160644531
19,ソユーゲームフィールド 札幌発寒店,北海道札幌市西区発寒8条12丁目1番1号　イオンモール札幌発寒3F ,開催なし,141.27818298339844,43.09579086303711
20,ソユーゲームフィールド 札幌苗穂店,北海道札幌市東区東苗穂2条三丁目1番1号　イオンモール札幌苗穂2F,開催なし,141.4038848876953,43.07968521118164
21,ｎａｍｃｏアリオ札幌店,北海道札幌市東区北七条東９丁目２番２０　アリオ札幌スパ・レジャー館２Ｆ,開催なし,141.37039184570312,43.072914123535156
22,ｎａｍｃｏウイングベイ小樽店,北海道小樽市築港１１番５号　ウィングベイ小樽５番街３階,開催なし,141.018310546875,43.1859245300293
23,ｎａｍｃｏサッポロファクトリー店,北海道札幌市中央区北１条東４丁目１番地１　サッポロファクトリー１条館２Ｆ,開催なし,141.363037109375,43.06425857543945
24,ｎａｍｃｏラソラ札幌店,北海道札幌市白石区東札幌３条１丁目１－１ラソラ札幌店　Ａタウン２Ｆ,開催なし,141.38436889648438,43.054256439208984
25,ｎａｍｃｏ札幌西町店,北海道札幌市西区西町北１３丁目１番,開催なし,141.28387451171875,43.082725524902344
26,アピナ新千歳空港店,北海道千歳市美々1292-33新千歳空港(国内線)旅客ターミナルビル4階,開催なし,141.68331909179688,42.788394927978516
27,宝島函館店,北海道函館市美原1-7-1MEGAドン・キホーテ函館店2階,開催なし,140.75677490234375,41.81316375732422
28,ファンタジープラザ旭川店,北海道旭川市春光1条8-1-65MEGAドン・キホーテ旭川店2階,開催なし,142.378662109375,43.798004150390625
29,ファンタジープラザ西帯広店,北海道帯広市西21条南4-1MEGAドン・キホーテ西帯広2階,開催なし,143.14381408691406,42.91188430786133
30,ファンタジープラザ帯広店,北海道帯広市西4条南12-3長崎屋帯広店3階,開催なし,143.19863891601562,42.91864776611328
31,キャッツアイ新札幌店,北海道札幌市厚別区厚別東5条1丁目,開催なし,141.47540283203125,43.04630661010742
32,キャッツアイ新川店,北海道札幌市北区新川2条7-1-7,開催なし,141.30967712402344,43.10036849975586
33,キャッツアイ清田店,北海道札幌市清田区清田1条1丁目20-1,開催なし,141.4362030029297,43.00312042236328
34,タイトーステーション イオンモール釧路昭和店,北海道釧路市昭和中央4-18-1イオンモール釧路昭和2F,開催なし,144.3594207763672,43.02446746826172
35,タイトーステーション イオンモール札幌平岡店,北海道札幌市清田区平岡3条5-3-1イオンモール札幌平岡店2F,開催なし,141.45814514160156,42.99821853637695
36,モーリーファンタジー旭川西,北海道旭川市緑町２３－２１６１－３イオン２階　,開催なし,142.32508850097656,43.79402160644531
37,モーリーファンタジー三笠,北海道三笠市岡山１０５９－１ＳｕＣ１階　,開催なし,141.80563354492188,43.243953704833984
38,モーリーファンタジー名寄,北海道名寄市字徳田８０番地１イオンＳＣ２階　,開催なし,142.45262145996094,44.338401794433594
39,ＰＡＬＯ滝川,北海道滝川市東町２丁目２９－１イオン１階　,開催なし,141.93081665039062,43.554046630859375
